steam_id,last_logoff,personastate,total_playtime,game_count,recent_playtime,churn,engagement_ratio,high_value_player,avg_playtime_per_game
76561197995590186,,0.0,478483,707,0,1,0.0,1,675.8234463276837
76561197995842727,,0.0,156391,158,0,1,0.0,1,983.5911949685535
76561197996300594,,0.0,0,1209,0,0,0.0,0,0.0
76561197996456215,,4.0,0,1404,0,0,0.0,0,0.0
76561197996599994,,1.0,1359443,1462,1930,0,0.0014196980530275613,1,929.215994531784
76561197996677523,,0.0,426148,555,1111,0,0.0026070693583699596,1,766.4532374100719
76561197996842325,,1.0,1712917,670,4297,0,0.0025085847658790437,1,2552.7824143070043
76561197996994028,,0.0,22167,213,0,1,0.0,1,103.58411214953271
76561197997030424,,1.0,1409217,1003,2474,0,0.0017555835931701129,1,1403.6025896414342
76561197997151944,,3.0,402008,881,8795,0,0.02187761965528135,1,455.79138321995464
76561197997335149,,0.0,499776,5839,1473,0,0.0029473145022680114,1,85.57808219178082
76561197997386960,,0.0,0,41,0,0,0.0,0,0.0
76561197997647343,,0.0,407325,69,170,0,0.00041735612261431873,1,5818.928571428572
76561197997917134,,0.0,2205339,1975,15406,0,0.0069857709015389916,1,1116.0622469635628
76561197998427482,,3.0,176657,155,3262,0,0.018465056776370163,1,1132.4166666666667
76561197998511283,,4.0,654676,1466,924,0,0.0014113830178851556,1,446.26857532379006
76561197998524435,,0.0,467170,802,281,0,0.0006014928152646462,1,581.7808219178082
76561197998818622,,0.0,685909,65,94,0,0.00013704421862926623,1,10392.560606060606
76561197999511289,,3.0,1377368,388,20,0,1.4520437152280907e-05,1,3540.7917737789203
76561197999644177,,0.0,743765,3093,2055,0,0.0027629657714926467,1,240.38946347769877
76561197999825207,,0.0,1871899,878,1280,0,0.0006837972113894973,1,2129.5779294653016
76561198000047335,,0.0,674198,372,2334,0,0.003461885882358176,1,1807.5013404825738
76561198000420879,,0.0,419611,833,931,0,0.002218716337950297,1,503.1306954436451
76561198000689076,,0.0,144967,201,175,0,0.0012071629601015396,1,717.6584158415842
76561198000723885,,0.0,1185672,30,0,1,0.0,1,38247.48387096774
76561198000868153,,1.0,0,199,0,0,0.0,0,0.0
76561198001768174,,0.0,781154,249,1004,0,0.001285276289596815,1,3124.616
76561198001791135,,0.0,665055,282,2162,0,0.003250854063417216,1,2350.0176678445227
76561198002123095,,0.0,646276,1988,3,0,4.641972405021376e-06,1,324.9250879839115
